,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,1002076.818121063,2022-01-04,0.002076818121063,2022-01-04
2,995037.2273947446,2022-01-05,-0.0070250010767817,2022-01-05
3,993591.0323383176,2022-01-06,-0.0014534079897828,2022-01-06
4,996937.7189878728,2022-01-07,0.0033682738074627,2022-01-07
5,993210.1119529532,2022-01-10,-0.0037390570784141,2022-01-10
6,1002667.6184316976,2022-01-11,0.0095221608851203,2022-01-11
7,1004647.825457813,2022-01-12,0.0019749386433887,2022-01-12
8,1001972.645822952,2022-01-13,-0.0026628033894782,2022-01-13
9,999908.3793305128,2022-01-14,-0.0020602024426962,2022-01-14
10,985413.1724381254,2022-01-18,-0.0144965350746362,2022-01-18
11,976065.7263983268,2022-01-19,-0.0094858139724995,2022-01-19
12,968201.3718473662,2022-01-20,-0.0080571977257923,2022-01-20
13,951138.4278508262,2022-01-21,-0.0176233420987447,2022-01-21
14,950432.3308501968,2022-01-24,-0.000742370384745,2022-01-24
15,944615.9521125412,2022-01-25,-0.0061197189414344,2022-01-25
16,939645.03939373,2022-01-26,-0.0052623637232612,2022-01-26
17,939644.4376985969,2022-01-27,-6.403430103940622e-07,2022-01-27
18,965072.3655719107,2022-01-28,0.0270612232171487,2022-01-28
19,964107.2994476052,2022-01-31,-0.0009999935328515,2022-01-31
20,966761.4938176424,2022-02-01,0.0027530072343171,2022-02-01
21,967721.0649391328,2022-02-02,0.0009925624134048,2022-02-02
22,954409.861060799,2022-02-03,-0.0137552073222371,2022-02-03
23,955108.4175103458,2022-02-04,0.0007319250125625,2022-02-04
24,957738.104409943,2022-02-07,0.0027532862776478,2022-02-07
25,967581.7793908046,2022-02-08,0.0102780446298795,2022-02-08
26,976864.3484548876,2022-02-09,0.0095935757181448,2022-02-09
27,963523.9681176494,2022-02-10,-0.0136563283923083,2022-02-10
28,946561.2878273204,2022-02-11,-0.0176048348059959,2022-02-11
29,941364.0859717984,2022-02-14,-0.0054906131513696,2022-02-14
30,955493.8300918468,2022-02-15,0.0150098610416626,2022-02-15
31,953777.1113764616,2022-02-16,-0.0017966821567234,2022-02-16
32,932071.9588832516,2022-02-17,-0.0227570490362111,2022-02-17
33,924855.5178814128,2022-02-18,-0.0077423646672998,2022-02-18
34,917875.9554732136,2022-02-22,-0.0075466516372065,2022-02-22
35,902862.6576686138,2022-02-23,-0.0163565650838511,2022-02-23
36,910729.6043776248,2022-02-24,0.0087133371196514,2022-02-24
37,933964.1709882437,2022-02-25,0.0255120361729062,2022-02-25
38,930463.9857338604,2022-02-28,-0.0037476654491783,2022-02-28
39,915022.7968039135,2022-03-01,-0.0165951494810068,2022-03-01
40,930703.5305182614,2022-03-02,0.017136986935319,2022-03-02
41,928331.5954104046,2022-03-03,-0.0025485399271408,2022-03-03
42,921215.8960951924,2022-03-04,-0.0076650405419697,2022-03-04
43,900652.7788885884,2022-03-07,-0.0223217133939677,2022-03-07
44,895378.529602757,2022-03-08,-0.0058560295481905,2022-03-08
45,919022.8522085386,2022-03-09,0.0264070689926769,2022-03-09
46,911833.5683319898,2022-03-10,-0.0078227476708243,2022-03-10
47,904561.3846619306,2022-03-11,-0.0079753410300107,2022-03-11
48,899388.532002709,2022-03-14,-0.0057186308711982,2022-03-14
49,915717.215229874,2022-03-15,0.0181553162467007,2022-03-15
50,935074.3911200948,2022-03-16,0.0211388140009591,2022-03-16
51,946156.6268167348,2022-03-17,0.0118517155446478,2022-03-17
52,959868.28507956,2022-03-18,0.0144919539473677,2022-03-18
53,952797.3811255272,2022-03-21,-0.0073665356632204,2022-03-21
54,963719.3192530258,2022-03-22,0.0114630228250593,2022-03-22
55,949160.18405111,2022-03-23,-0.0151072360085097,2022-03-23
56,958294.4211898772,2022-03-24,0.0096234937919343,2022-03-24
57,961720.8873973206,2022-03-25,0.003575588182167,2022-03-25
58,968156.489332856,2022-03-28,0.0066917564335655,2022-03-28
59,983996.7635362176,2022-03-29,0.0163612746264572,2022-03-29
60,975153.3161427124,2022-03-30,-0.0089872728460245,2022-03-30
61,960084.9238205116,2022-03-31,-0.0154523315182938,2022-03-31
62,963393.5766466532,2022-04-01,0.0034462085009887,2022-04-01
63,973337.9777735148,2022-04-04,,2022-04-04
64,957218.8743856516,2022-04-05,-0.0165606436365867,2022-04-05
65,942351.7698535622,2022-04-06,-0.0155315622475905,2022-04-06
66,941999.0071152276,2022-04-07,-0.0003743429466783,2022-04-07
67,941104.0368408212,2022-04-08,-0.0009500756026773,2022-04-08
68,930585.6993292512,2022-04-11,-0.0111765937662735,2022-04-11
69,926832.7681341904,2022-04-12,-0.0040328700492235,2022-04-12
70,934428.9879542894,2022-04-13,0.0081958904359746,2022-04-13
71,931060.154845048,2022-04-14,-0.00360523180752,2022-04-14
72,927333.6877269908,2022-04-18,-0.0040023913585662,2022-04-18
73,939413.8057480974,2022-04-19,0.013026721859654,2022-04-19
74,942398.1854157,2022-04-20,0.0031768531070563,2022-04-20
