date,ensemble
2022-01-03,1000000.0
2022-01-04,1002076.818121063
2022-01-05,995037.2273947446
2022-01-06,993591.0323383176
2022-01-07,996937.7189878728
2022-01-10,993210.1119529532
2022-01-11,1002667.6184316976
2022-01-12,1004647.825457813
2022-01-13,1001972.645822952
2022-01-14,999908.3793305128
2022-01-18,985413.1724381254
2022-01-19,976065.7263983268
2022-01-20,968201.3718473662
2022-01-21,951138.4278508262
2022-01-24,950432.3308501968
2022-01-25,944615.9521125412
2022-01-26,939645.03939373
2022-01-27,939644.4376985969
2022-01-28,965072.3655719107
2022-01-31,964107.2994476052
2022-02-01,966761.4938176424
2022-02-02,967721.0649391328
2022-02-03,954409.861060799
2022-02-04,955108.4175103458
2022-02-07,957738.104409943
2022-02-08,967581.7793908046
2022-02-09,976864.3484548876
2022-02-10,963523.9681176494
2022-02-11,946561.2878273204
2022-02-14,941364.0859717984
2022-02-15,955493.8300918468
2022-02-16,953777.1113764616
2022-02-17,932071.9588832516
2022-02-18,924855.5178814128
2022-02-22,917875.9554732136
2022-02-23,902862.6576686138
2022-02-24,910729.6043776248
2022-02-25,933964.1709882437
2022-02-28,930463.9857338604
2022-03-01,915022.7968039135
2022-03-02,930703.5305182614
2022-03-03,928331.5954104046
2022-03-04,921215.8960951924
2022-03-07,900652.7788885884
2022-03-08,895378.529602757
2022-03-09,919022.8522085386
2022-03-10,911833.5683319898
2022-03-11,904561.3846619306
2022-03-14,899388.532002709
2022-03-15,915717.215229874
2022-03-16,935074.3911200948
2022-03-17,946156.6268167348
2022-03-18,959868.28507956
2022-03-21,952797.3811255272
2022-03-22,963719.3192530258
2022-03-23,949160.18405111
2022-03-24,958294.4211898772
2022-03-25,961720.8873973206
2022-03-28,968156.489332856
2022-03-29,983996.7635362176
2022-03-30,975153.3161427124
2022-03-31,960084.9238205116
2022-04-01,963393.5766466532
2022-04-04,973337.9777735148
2022-04-05,957218.8743856516
2022-04-06,942351.7698535622
2022-04-07,941999.0071152276
2022-04-08,941104.0368408212
2022-04-11,930585.6993292512
2022-04-12,926832.7681341904
2022-04-13,934428.9879542894
2022-04-14,931060.154845048
2022-04-18,927333.6877269908
2022-04-19,939413.8057480974
2022-04-20,942398.1854157
2022-04-21,929781.8842984132
2022-04-22,897863.3932563524
2022-04-25,903303.5581454972
2022-04-26,879833.97861242
2022-04-27,888982.2101040467
2022-04-28,906728.5804808624
2022-04-29,880643.2076323176
2022-05-02,881935.0254385576
2022-05-03,882361.1638278322
2022-05-04,905992.4473630686
2022-05-05,878722.6992816019
2022-05-06,874258.5044044657
2022-05-09,858043.9180691424
2022-05-10,854533.2577542353
2022-05-11,853540.5032613191
2022-05-12,851604.8456001177
2022-05-13,861328.2685286951
2022-05-16,865075.817889596
2022-05-17,875282.4710115137
2022-05-18,874407.1931639948
2022-05-19,873991.9012138264
2022-05-20,873836.2352532058
2022-05-23,876779.422697435
2022-05-24,878803.7551954971
2022-05-25,879810.8149616333
2022-05-26,883622.2373484131
2022-05-27,888326.5253687145
2022-05-31,886596.3502768795
2022-06-01,881222.1741107954
2022-06-02,885798.7554993222
2022-06-03,880862.8328823828
2022-06-06,880625.9612680791
2022-06-07,885536.918806043
2022-06-08,879203.0807877248
2022-06-09,861392.7064971555
2022-06-10,842383.7770939
2022-06-13,820296.5247389005
2022-06-14,815092.9176845411
2022-06-15,818006.8128615735
2022-06-16,799434.0612703565
2022-06-17,802772.1776822638
2022-06-21,819792.4471086249
2022-06-22,815484.3310305838
2022-06-23,816443.191303224
2022-06-24,836704.9692514929
2022-06-27,836554.5181901983
2022-06-28,826916.1526461195
2022-06-29,824416.7772857832
2022-06-30,817729.8668724379
2022-07-01,825479.1915124106
2022-07-05,818204.3286635451
2022-07-06,817302.0897719435
2022-07-07,827549.6265609602
2022-07-08,826036.7501740622
2022-07-11,823583.0338787741
2022-07-12,823358.7601223654
2022-07-13,821210.4626145377
2022-07-14,816591.008349134
2022-07-15,831884.8358672156
2022-07-18,825730.2004462256
2022-07-19,846539.4281029906
2022-07-20,849242.3949113097
2022-07-21,853962.93617489
2022-07-22,856199.0415139403
2022-07-25,859595.4245209899
2022-07-26,854163.3080315795
2022-07-27,861758.996305963
2022-07-28,868359.004282495
2022-07-29,864686.2746491637
2022-08-01,863821.588912519
2022-08-02,860612.3420867287
2022-08-03,868888.0099795663
2022-08-04,865664.4826954324
2022-08-05,866391.6661060769
2022-08-08,868643.910384031
2022-08-09,869445.2660206277
2022-08-10,882925.8069904763
