date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1000926.4968748091,1005865.5049902436
2022-01-05,1000071.702257416,995136.0138376162
2022-01-06,997960.9716363986,990471.7975821542
2022-01-07,999083.4408135876,990340.3615824638
2022-01-10,993819.2807972266,985890.7565044003
2022-01-11,993273.1329786386,990896.8558394794
2022-01-12,993993.37122268,991943.7526526102
2022-01-13,993285.1562060784,987113.9334438421
2022-01-14,988090.396342656,981597.6787825888
2022-01-18,981070.6164233942,966746.2649914182
2022-01-19,969380.006822915,957457.7651075325
2022-01-20,963714.2193899316,948895.3129879801
2022-01-21,957613.5219081544,936594.6758276811
2022-01-24,965042.5338021212,939304.2220211355
2022-01-25,957403.285315118,937479.1728394073
2022-01-26,951352.9721523524,933935.63266254
2022-01-27,947025.1961967136,933735.8627556182
2022-01-28,959951.8595592967,949170.7840515067
2022-01-31,958991.9274341214,960278.8877588881
2022-02-01,959273.5264101191,967751.3072863698
2022-02-02,961469.3391771556,973876.4811240927
2022-02-03,957766.0785676432,959713.1043613582
2022-02-04,956004.0223246394,959127.5681937693
2022-02-07,955843.7466197409,959165.5789296668
2022-02-08,964318.4654745684,969324.1616417221
2022-02-09,970004.233485242,977668.4791167842
2022-02-10,959530.036015603,963278.2124276955
2022-02-11,947960.2617655572,949514.9093374547
2022-02-14,945669.4557551204,944816.6329001071
2022-02-15,956739.033848218,956369.6544066027
2022-02-16,956163.0787447252,954878.0533378178
2022-02-17,941856.1370357485,937870.0641431168
2022-02-18,937733.1703826418,931505.4013148939
2022-02-22,928788.5201905984,918315.0353280962
2022-02-23,913301.2094009484,905609.092680531
2022-02-24,910967.7320332996,908125.5955860567
2022-02-25,929749.9518042232,930946.9851667373
2022-02-28,923263.4665046282,926405.5564008318
2022-03-01,903469.6047495166,910069.5884750595
2022-03-02,915862.2063321772,926371.3894472161
2022-03-03,908599.402890317,923728.4688133122
2022-03-04,904130.1624282352,918812.2712749346
2022-03-07,871742.9821359797,897015.8903027246
2022-03-08,864505.0433931552,891966.3348735155
2022-03-09,874241.8613272411,909831.8078322402
2022-03-10,869622.645749036,906765.5372886921
2022-03-11,872161.1055435039,900482.1277470364
2022-03-14,865491.5962505656,900510.7425706895
2022-03-15,885840.7718954174,916886.32280831
2022-03-16,905038.3770897608,931065.9288740121
2022-03-17,907402.6326228152,942482.0690225849
2022-03-18,914705.2035330896,949976.0564395365
2022-03-21,907914.8015969936,944456.2783111915
2022-03-22,919962.157672334,951411.9226652359
2022-03-23,915138.99726151,939140.2206437801
2022-03-24,928692.3453383,948691.6992987766
2022-03-25,934587.0866394932,952881.849072821
2022-03-28,938673.7313438084,955469.0348636392
2022-03-29,957896.0964016468,964716.0005445358
2022-03-30,958189.8355956164,962928.855326975
2022-03-31,945858.2390428744,947882.9034436552
2022-04-01,949830.8723570836,951707.3600422817
2022-04-04,948727.7782828342,954539.3734101022
2022-04-05,947828.0877597476,946866.8636605087
2022-04-06,950241.2903057606,942912.5726381426
2022-04-07,957456.1160885936,945292.1941857454
2022-04-08,948598.7895443012,949051.947115962
2022-04-11,940968.5406413928,937762.0111523072
2022-04-12,938710.6375649006,935364.345182326
2022-04-13,949050.298498235,944773.3903494372
2022-04-14,946535.9063837824,941674.8747434141
2022-04-18,943619.3732444546,940594.1312918579
2022-04-19,961829.836607713,954247.4595001481
2022-04-20,962662.9384395572,961069.6391916312
2022-04-21,959480.2262101528,951010.1406450614
2022-04-22,934082.3227837766,924185.9856765724
2022-04-25,940642.7102346012,930693.0819926808
2022-04-26,919075.5641651507,908572.5420480419
2022-04-27,914626.6104791996,910260.389556657
2022-04-28,938677.5364964574,927055.7962368303
2022-04-29,914464.773945474,901384.669181141
2022-05-02,911222.6107762996,903688.589572139
2022-05-03,909062.6965469106,905527.8393939637
2022-05-04,936837.634165292,931010.0872591964
2022-05-05,911169.5261763928,901952.0541546214
2022-05-06,912960.5707677169,899257.0289164537
2022-05-09,899158.4398581441,881389.8476100483
2022-05-10,895623.0944301962,879067.6158673469
2022-05-11,884419.3194135297,870139.6307299716
2022-05-12,883061.0779921316,867302.1720039186
2022-05-13,889694.1167277808,880049.4353110127
2022-05-16,889762.120311971,880780.8750477136
2022-05-17,891859.9414732222,892566.2852246611
2022-05-18,890968.0906269087,860735.817377633
2022-05-19,889227.8179077051,854259.4179339136
2022-05-20,889092.7592115114,854499.1204678736
2022-05-23,892195.3125225464,871400.5514759857
2022-05-24,891763.101547296,872722.919352643
2022-05-25,892981.8063441063,877961.6742874989
2022-05-26,897774.5783097587,892090.6705531576
2022-05-27,905888.2927010896,907828.5566330603
2022-05-31,903251.3621686036,901737.549748953
2022-06-01,898547.1874262977,896902.4987254125
2022-06-02,909042.859951513,908793.9866161636
2022-06-03,900396.9538255137,899265.9977417779
2022-06-06,900787.6246659488,899705.5769543898
2022-06-07,908492.756682867,906931.4605571884
2022-06-08,900964.712399908,899572.1122918285
2022-06-09,884062.4294276255,882130.3095579384
2022-06-10,860922.9600993021,858076.7742124917
2022-06-13,833672.6579823092,834131.2384719898
2022-06-14,829132.8728219317,829978.9926621128
2022-06-15,838256.4528302249,838280.1743582352
2022-06-16,814043.1618859958,818013.4585765727
2022-06-17,811413.8065811291,816966.8286927671
2022-06-21,833825.1167884121,834500.5085003644
2022-06-22,830052.7128839588,833212.5745066479
2022-06-23,832878.4809224299,838521.531854011
2022-06-24,852899.8205211811,861025.8093964461
2022-06-27,852966.0412968311,859319.6505361276
2022-06-28,838746.9977631932,845891.5039065107
2022-06-29,838582.2445858403,848141.611345564
2022-06-30,831527.0230957621,841202.142908622
2022-07-01,840173.4526375255,849998.905589767
2022-07-05,833388.7147931996,846460.8641569972
2022-07-06,836099.5496473255,848370.369777194
2022-07-07,844092.8877842121,857851.5926338184
2022-07-08,843057.8515874118,856583.304638431
2022-07-11,838484.0015952549,852092.1119715134
2022-07-12,832188.335236475,846830.1341853718
2022-07-13,826688.7320343761,841129.965219109
2022-07-14,820287.0740525036,837231.6759691536
2022-07-15,838076.5160424022,855219.6161022446
2022-07-18,832962.2572914867,849325.1225872926
2022-07-19,853750.708120039,869946.694213773
2022-07-20,853755.1940171032,871252.9395591929
2022-07-21,857633.0171105175,875682.6317096023
2022-07-22,856385.0445038585,871921.2238175699
2022-07-25,860239.1306664257,874401.744650069
2022-07-26,857333.5749565868,868156.0255291206
2022-07-27,867440.4696785717,880074.8469827644
2022-07-28,877225.6028458385,889150.7109662574
2022-07-29,890625.3013970165,897774.3966729929
2022-08-01,889734.6852500706,896497.0864664163
2022-08-02,885394.1728435308,885502.7480374022
2022-08-03,895468.3043021949,896882.5324118934
2022-08-04,892860.9456100103,894540.6012849978
2022-08-05,894988.7269160406,896635.6761720199
2022-08-08,895423.2080453284,897430.2713870449
2022-08-09,897132.6222297156,895841.4012721851
2022-08-10,911355.3164893592,910467.6334846823
2022-08-11,913810.6960747548,911210.0173237132
2022-08-12,925329.0074494192,922809.8048479704
2022-08-15,929916.9761612724,926947.8500177509
2022-08-16,934016.787215502,933496.1602216582
2022-08-17,929661.0684082815,928803.2223708129
2022-08-18,931163.6442673514,929314.8725012079
2022-08-19,922629.4070694754,921325.2507133685
2022-08-22,905800.3783905812,903746.2463063655
2022-08-23,902089.1720536062,899536.3437622621
2022-08-24,905627.9938767264,901166.5345366508
2022-08-25,916811.0787308523,909982.9966019897
2022-08-26,890435.481734545,882420.3549626165
2022-08-29,885821.9930451224,877379.7683587316
2022-08-30,878081.3844597647,868957.7210641939
2022-08-31,871634.7391617605,861292.3116346485
2022-09-01,874202.4599507162,865282.7448876362
2022-09-02,864917.3411248038,856044.5344886034
2022-09-06,860029.8284714529,851312.037711775
2022-09-07,872760.927304537,863228.8838884128
2022-09-08,877377.2244370291,868510.8279880736
2022-09-09,888354.8442948172,878820.8130133385
2022-09-12,897574.0079033682,885097.389164271
2022-09-13,863937.4425099203,850209.6729848838
2022-09-14,865634.6896374533,851032.9364094269
2022-09-15,862933.2023690054,846296.8627796419
2022-09-16,855646.537543566,842486.5534352469
2022-09-19,861653.6020195791,847878.3656451281
2022-09-20,854467.3997223685,839310.6817108035
2022-09-21,839821.8892147848,825030.2297460701
2022-09-22,832451.2443383047,822102.8158374507
2022-09-23,816682.2060578177,808811.3370222966
2022-09-26,805694.6966584036,799802.2053700841
2022-09-27,800288.8666374991,796363.0879452047
2022-09-28,814308.7729275534,811362.3805824933
2022-09-29,801053.2289917776,798840.0319247473
2022-09-30,785463.6977455923,785170.5277993546
2022-10-03,806387.409808428,806091.1136558373
2022-10-04,830010.424645693,828653.047932499
2022-10-05,828522.0056899664,827492.706156191
2022-10-06,819721.4709015295,818009.881723616
2022-10-07,800144.1838368018,800785.6263897007
2022-10-10,794893.9938777717,798218.780613457
2022-10-11,792019.4504344122,799211.2238442628
2022-10-12,791503.9452342971,798436.5949427569
2022-10-13,818804.1987484191,821065.2615506992
2022-10-14,805480.5895622466,810025.4917505492
2022-10-17,822884.1079204772,825086.0179750208
2022-10-18,833795.5277717803,834324.2283740534
2022-10-19,834717.6546695922,831591.1390141231
2022-10-20,833390.1444481108,829125.0857510457
2022-10-21,851329.2773693297,849597.1235695925
2022-10-24,858356.6186283324,860996.8208717378
2022-10-25,870314.0803592894,870211.5414901597
2022-10-26,863781.2379787657,870276.2985444344
2022-10-27,867065.0250194762,875583.6543158469
2022-10-28,892243.422148535,898230.0984168422
2022-10-31,888378.5720813964,894708.1261294447
2022-11-01,884235.5169132445,892528.2744887637
2022-11-02,866299.2239559386,878712.8134083939
2022-11-03,861495.6206768248,874708.1795153097
2022-11-04,868840.0029133055,885695.4710101407
2022-11-07,880103.6222828124,897278.8690738353
2022-11-08,886986.182619879,906403.5811238257
2022-11-09,862466.455591986,888721.8089266506
2022-11-10,896100.93216593,921561.216236777
2022-11-11,900196.409838507,922449.2367155949
2022-11-14,893484.9833858702,916677.4773043342
2022-11-15,893333.4390896056,918214.2428149299
2022-11-16,890109.4968097899,917145.6713405991
2022-11-17,888675.2546680663,916940.4560754449
2022-11-18,893113.1289699767,922389.9784054176
2022-11-21,891789.2070644591,921148.7570435975
2022-11-22,901347.674845526,932022.6035752513
2022-11-23,904870.0754802916,934645.451123906
2022-11-25,907668.0782650206,938826.7388443562
2022-11-28,890128.5604160521,925226.3694141703
2022-11-29,890397.6252086852,925310.2919939887
2022-11-30,913887.3210476134,945461.6409213332
2022-12-01,906962.1497638916,940138.2160045485
2022-12-02,907987.7023723816,941091.2604669661
2022-12-05,894413.470675299,927895.2355784759
2022-12-06,883909.1508892272,918307.6680787228
2022-12-07,882308.3446071837,918350.9106293927
2022-12-08,888902.9921787474,923368.2209961268
2022-12-09,882422.8359173033,915030.950455248
2022-12-12,897578.9972141478,929478.8738785632
2022-12-13,900165.944414923,932310.6737029237
2022-12-14,895693.5348919127,928421.4066641575
2022-12-15,875005.8559902404,907534.9343754255
2022-12-16,863926.2928722594,899833.4894869885
2022-12-19,859376.6983478758,895380.2541701033
2022-12-20,862532.2815807555,897900.3873144508
2022-12-21,873497.3454235289,912298.1280246429
2022-12-22,862199.4059208129,902758.928118602
2022-12-23,868975.602705786,907581.7003931869
2022-12-27,868128.8224476073,908610.2324687493
2022-12-28,857024.6148098204,898610.3125475467
2022-12-29,868516.8601062987,908042.8474952687
2022-12-30,867794.7157657836,906032.4425901753
2023-01-03,864269.512244055,905735.0833219888
2023-01-04,868560.9496296141,909381.3379031633
2023-01-05,859367.4917527603,900096.3614863693
2023-01-06,876675.6286163314,919244.376466443
2023-01-09,874092.0080869125,916156.751576885
2023-01-10,880180.9723062728,921253.1797955856
2023-01-11,887921.8650812744,928603.4524638911
2023-01-12,893097.4073368057,934533.6611225446
2023-01-13,897636.1586109146,937612.5307302385
2023-01-17,890626.2547222122,926904.3939236209
2023-01-18,874507.528716658,910124.5759160346
2023-01-19,863067.30779991,903225.5205789164
2023-01-20,875225.8073650345,912271.0080052104
2023-01-23,881025.3611942276,919215.6548710598
2023-01-24,886327.3429599747,922069.3429000804
2023-01-25,887552.7224307999,922339.3686053744
2023-01-26,891292.3390537247,927958.3376709349
2023-01-27,892223.1272083267,928741.9353977648
2023-01-30,883733.1878696426,921608.1957979986
2023-01-31,889693.794215773,931692.8924728599
2023-02-01,887798.1743122085,931882.0919785068
2023-02-02,890957.3760028824,930815.549167047
2023-02-03,885607.1362834915,927318.7750079412
2023-02-06,884565.9289623245,926362.3138501619
2023-02-07,888169.651057814,933624.0727542569
2023-02-08,883017.048701857,927947.4469544699
2023-02-09,875526.9619213089,921137.7595554026
2023-02-10,879072.5700870499,925767.8088572489
2023-02-13,886883.7140079483,936063.272927227
2023-02-14,882410.0446163162,931781.1926936104
2023-02-15,887194.8374668106,932841.2224295373
2023-02-16,876454.0272327408,921055.0114646145
2023-02-17,881715.6754604324,924603.9969997144
2023-02-21,859077.0791545853,905549.7275986237
2023-02-22,853828.5207248672,903240.041534203
2023-02-23,857533.9800716385,906214.488389909
2023-02-24,849532.4756580337,897003.3980103089
2023-02-27,852763.6263080582,898976.0057229648
2023-02-28,849294.9554439529,892623.9419588875
2023-03-01,851312.0026699051,892764.453555632
2023-03-02,854420.3961788162,902105.1648155118
2023-03-03,864790.1300540909,912694.1443713948
2023-03-06,863510.2306591019,913800.4062664328
2023-03-07,844064.8786769852,898084.1414618652
2023-03-08,845161.7974430069,896497.0864664163
2023-03-09,826096.9191375717,881640.2273170133
2023-03-10,818272.5843101486,872204.1689021997
2023-03-13,819099.0048652634,869730.4814604238
2023-03-14,823873.3806816086,878921.6589123697
2023-03-15,818944.6986728653,871245.5723098196
2023-03-16,826716.9271274551,881413.1238471989
2023-03-17,817425.3462711319,870901.4470238715
2023-03-20,827105.2212024673,881359.2575093893
2023-03-21,834453.4577022537,889997.1972420863
2023-03-22,820096.9752212509,875497.0090569119
2023-03-23,823211.175693129,877550.8700561352
2023-03-24,824283.2771049484,881166.5345366508
2023-03-27,828850.486240004,886484.3005517429
2023-03-28,828329.7972045883,885450.2697320831
2023-03-29,835420.8400836929,894288.566616217
2023-03-30,840339.9038959488,898154.3972602374
2023-03-31,852546.7831607803,909501.0290125484
2023-04-03,859899.6683498367,918439.1040784131
2023-04-04,852201.802154158,913006.0245948681
2023-04-05,855000.250617598,915201.9987667865
2023-04-06,854054.0093502983,915272.2545651589
2023-04-10,857089.9237384171,918039.2439493795
2023-04-11,861953.7367522797,920725.3003622231
2023-04-12,857439.057884953,919678.7238642824
2023-04-13,867144.071850346,930152.7102669026
2023-04-14,867329.8180249714,926237.9247846548
2023-04-17,862804.2469917225,928990.713528779
2023-04-18,861511.451807362,928702.3230859165
2023-04-19,851958.6039065633,926526.1016840572
2023-04-20,848980.571642365,923508.7325928714
2023-04-21,847330.1716441197,924119.3601170218
2023-04-24,849554.2125186009,925935.3337016958
2023-04-25,846438.127435593,916516.9993940704
2023-04-26,830593.6964739842,910258.7879807063
2023-04-27,839261.3105410618,924589.4760444277
2023-04-28,842676.8835162205,932024.2051512022
2023-05-01,845362.1008891148,930754.2621939989
2023-05-02,834243.6107958836,920718.2534280398
2023-05-03,819865.4015482945,913330.183567297
2023-05-04,819812.4760912937,905499.1177985806
2023-05-05,835706.2493342442,920440.7537016425
2023-05-08,832780.1108225865,918918.6159180633
2023-05-09,831406.0617960972,917363.8059850894
2023-05-10,828981.258535294,916530.6661755167
2023-05-11,825289.022584824,910467.6334846823
2023-05-12,825834.8044222874,910224.6210270907
2023-05-15,826649.3098277134,911536.098187283
2023-05-16,813028.9256381077,902339.4219912394
2023-05-17,820063.1382998509,913508.7058999388
2023-05-18,818019.0637797398,916655.9094148641
2023-05-19,816126.1740550083,913668.8634950124
2023-05-22,816329.5253542942,909840.7766575643
2023-05-23,811255.1173495335,903524.9085099738
2023-05-24,804864.2990435642,896538.7274411353
2023-05-25,798856.7475070042,895574.6321046576
2023-05-26,803195.5640276951,904558.8859437687
2023-05-30,803682.6552523655,903176.939441744
2023-05-31,808403.037668137,899500.2549175055
2023-06-01,807768.8060359043,903690.5114632798
2023-06-02,820978.704099564,922856.5708657319
2023-06-05,823128.8651331944,917392.5275804725
2023-06-06,818845.0527476353,917677.3945562433
2023-06-07,816075.6590022129,920184.928636445
2023-06-08,818214.1738719029,924793.0897336312
2023-06-09,817654.8109454197,925973.1308941331
2023-06-12,816872.2807482762,931154.1223230325
2023-06-13,822720.5847109837,935139.1636036527
2023-06-14,807308.5225390476,928776.1023513804
2023-06-15,822445.9101580662,940494.8335829123
2023-06-16,821642.7537402195,937517.1835753048
2023-06-20,822955.6098193211,930813.6272759062
2023-06-21,824286.1561526341,928015.9944051614
2023-06-22,827214.7006396336,927884.558405471
2023-06-23,822510.6508196873,921890.8205674383
2023-06-26,818870.0955142063,921543.1718143987
2023-06-27,818382.3083514256,927338.6345497303
2023-06-28,812663.5173510594,925313.8154610804
2023-06-29,821304.3303545994,932687.3643665366
2023-06-30,828285.3686770481,940482.3412904965
2023-07-03,832658.2460650486,940779.3802434929
2023-07-05,830405.5962161106,937230.7150235833
2023-07-06,822986.9931353611,927216.2741470941
2023-07-07,812743.5655688328,922094.4342566419
2023-07-10,823945.4425620503,927821.3495412819
2023-07-11,826181.1098370785,936486.7296086015
2023-07-12,824847.1059344182,938837.6295608212
2023-07-13,826901.1582034001,940141.7394716402
2023-07-14,843138.5591395268,943254.7760329497
2023-07-17,849896.332763947,945340.8820946479
2023-07-18,862866.7595866093,955360.7683293695
2023-07-19,864868.9312098393,958347.8142492212
2023-07-20,868219.8825533757,962829.6643897594
2023-07-21,870227.1754267582,962898.318612181
2023-07-24,876095.2551272282,967915.3086637252
2023-07-25,874847.3587267766,968648.7236774319
2023-07-26,873497.5501482853,970891.463867112
2023-07-27,869701.8298190007,964402.4119733819
2023-07-28,870604.5639460454,969228.7077150584
2023-07-31,871163.1758997807,971968.6838515766
2023-08-01,867613.1079714665,973913.4241426898
2023-08-02,862308.2003977665,964396.9666151493
2023-08-03,864213.8649104008,962575.7612157029
2023-08-04,880367.3122408757,958468.3595324466
2023-08-07,899879.9947359929,969606.999954622
2023-08-08,906422.8679926762,965270.7864538707
2023-08-09,900648.8794405827,960046.5524743014
2023-08-10,905322.2375491032,961489.4656341841
2023-08-11,909181.3130000004,964366.3231286253
2023-08-14,910018.2187273868,965083.2952959045
2023-08-15,909263.405456818,955209.3660161599
2023-08-16,905366.0207751164,950271.4938165821
2023-08-17,899209.7243769536,942319.8827646404
2023-08-18,899463.8759501347,943025.9642154548
2023-08-21,898653.6972391972,942015.4765622705
2023-08-22,888931.6199305424,937235.8400666255
2023-08-23,889150.5682909855,942269.3797363272
2023-08-24,885775.5021517643,932058.6924200079
2023-08-25,887345.499080933,938823.1086055345
2023-08-28,889906.8082430729,944647.3997079793
2023-08-29,897155.8063357243,952647.6986688235
2023-08-30,893892.5843661198,953674.522396705
2023-08-31,882369.7499316105,949073.5150054321
2023-09-01,884355.0679514775,952238.7629427357
2023-09-05,879564.4424517521,946888.4315499784
2023-09-06,870831.957687653,941455.1385229733
2023-09-07,881539.1392710576,943027.8861065956
2023-09-08,887791.8312342534,945101.3931041479
2023-09-11,891079.4797213444,947482.9365428915
2023-09-12,891496.001400269,946998.299660199
2023-09-13,887562.4847529301,945072.4579653045
2023-09-14,896627.6259959111,954135.6694987868
2023-09-15,895176.2088625798,946239.7932899306
2023-09-18,900277.1798708806,946405.5030149667
2023-09-19,898559.2813685307,943492.5566757689
2023-09-20,912723.4943354496,941391.9296587843
2023-09-21,910256.9406092534,931266.019096124
2023-09-22,908031.6744768986,928352.7524417359
2023-09-25,908971.5612109074,929529.1633634163
