account_rewards,date
10247.536789016682,2022-07-06
-1512.8763868979877,2022-07-07
-2453.716295288061,2022-07-08
-224.2737564087147,2022-07-11
-2148.2975078277523,2022-07-12
-4619.454265403678,2022-07-13
15293.827518081642,2022-07-14
-6154.63542099006,2022-07-15
20809.227656765026,2022-07-18
2702.966808319092,2022-07-19
4720.541263580322,2022-07-20
2236.105339050293,2022-07-21
3396.3830070495605,2022-07-22
-5432.1164894104,2022-07-25
7595.688274383545,2022-07-26
6600.007976531982,2022-07-27
-3672.729633331299,2022-07-28
-864.6857366446638,2022-07-29
-3209.246825790382,2022-08-01
8275.667892837664,2022-08-02
-3223.5272841339465,2022-08-03
727.1834106445312,2022-08-04
2252.2442779541016,2022-08-05
801.3556365966797,2022-08-08
13480.540969848633,2022-08-09
-166.68704223632812,2022-08-10
11333.138809204102,2022-08-11
4365.17578125,2022-08-12
6998.568283081055,2022-08-15
-4143.64045715332,2022-08-16
-111.09745788574219,2022-08-17
-5709.257995605469,2022-08-18
-16079.057373046875,2022-08-19
-7268.607559204102,2022-08-22
3197.2294006347656,2022-08-23
9634.475372314453,2022-08-24
-25787.380920410156,2022-08-25
-4572.433181762695,2022-08-26
-7501.6153564453125,2022-08-29
-4474.875274658203,2022-08-30
6344.1251220703125,2022-08-31
-9857.027252197266,2022-09-01
-4412.259292602539,2022-09-02
12949.140884399414,2022-09-06
5120.36311340332,2022-09-07
6634.817138671875,2022-09-08
3995.299346923828,2022-09-09
-34784.336654663086,2022-09-12
-775.8018951416016,2022-09-13
730.7711334228516,2022-09-14
-2768.6624450683594,2022-09-15
6083.33903503418,2022-09-16
-7037.360824584961,2022-09-19
-13775.305801391602,2022-09-20
-4990.731307983398,2022-09-21
-10563.412078857422,2022-09-22
-10009.784088134766,2022-09-23
-3168.0406951904297,2022-09-26
15679.905624389648,2022-09-27
-13148.770614624023,2022-09-28
-11349.475387573242,2022-09-29
18896.792724609375,2022-09-30
